symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_price_change
DFII5,8,0.1399999999999999,0.10499999999999998,0.08999999999999986,-0.005246000000000001,-0.09499999999999997,-0.12012500000000007,-0.1499999999999999,5000,-0.04000000000000003
DFII5,9,0.1499999999999999,0.10499999999999998,0.09000000000000008,-0.006522000000000008,-0.10000000000000009,-0.11999999999999988,-0.15500000000000003,5000,-0.07000000000000006
DFII5,10,0.15002500000000069,0.12499999999999989,0.10000000000000009,-0.0058000000000000005,-0.1100000000000001,-0.12500000000000022,-0.15999999999999992,5000,-0.01
DFII5,11,0.15999999999999992,0.125,0.10499999999999998,-0.0065660000000000015,-0.115,-0.1399999999999999,-0.16502500000000025,5000,-0.0299999999999998
DFII5,12,0.15499999999999992,0.12,0.10000000000000009,-0.006701000000000004,-0.1200000000000001,-0.14000000000000012,-0.17002500000000015,5000,-0.03000000000000002
DFII5,13,0.1600250000000007,0.1299999999999999,0.10999999999999988,-0.004696999999999997,-0.12,-0.14,-0.18002500000000005,5000,-0.03000000000000002
DFII5,14,0.16000000000000003,0.1299999999999999,0.10000000000000009,-0.002649999999999998,-0.11999999999999988,-0.13500000000000012,-0.18502500000000005,5000,-0.10000000000000007
DFII5,15,0.16999999999999993,0.13,0.10999999999999988,-4.5599999999999596e-4,-0.1200000000000001,-0.1499999999999999,-0.19499999999999995,5000,-0.13000000000000034
DGS1,-15,0,0,0,0,0,0,0,5000,0
DGS1,-14,0.019999999999999796,0.010000000000000675,0.009999999999999787,-0.0018979999999999921,-0.015000000000000124,-0.019999999999999574,-0.020000000000000462,5000,0.00999999999999978
DGS1,-13,0.02999999999999936,0.019999999999999796,0.015000000000000135,-0.001257000000000005,-0.020000000000000018,-0.024999999999999696,-0.03000000000000025,5000,0
DGS1,-12,0.03000000000000025,0.02499999999999991,0.020000000000000018,-6.730000000000261e-4,-0.02499999999999969,-0.03000000000000025,-0.040000000000000036,5000,0.01999999999999957
DGS1,-11,0.040000000000000036,0.03000000000000025,0.02499999999999991,-0.00261600000000001,-0.029999999999999805,-0.03500000000000014,-0.04499999999999993,5000,0.00999999999999978
DGS1,-10,0.040000000000000036,0.029999999999999805,0.02499999999999991,-0.0024459999999999972,-0.03000000000000025,-0.03500000000000014,-0.050000000000000044,5000,0
DGS1,-9,0.04999999999999982,0.03000000000000025,0.02499999999999991,-0.004594000000000006,-0.03500000000000014,-0.040000000000000036,-0.05500000000000016,5000,0.01999999999999957
DGS1,-8,0.04499999999999993,0.0349999999999997,0.029999999999999805,-0.005631000000000018,-0.040000000000000036,-0.04499999999999993,-0.05999999999999983,5000,0.00999999999999978
DGS1,-7,0.04999999999999982,0.040000000000000036,0.03000000000000025,-0.005661000000000034,-0.04499999999999993,-0.050000000000000266,-0.07000000000000028,5000,0.00999999999999978
DGS1,-6,0.04999999999999982,0.03000000000000025,0.029999999999999805,-0.0073520000000000104,-0.05000000000000071,-0.0649999999999995,-0.07500000000000018,5000,0
DGS1,-5,0.05500000000000016,0.040000000000000036,0.03000000000000025,-0.009526000000000007,-0.05500000000000016,-0.0649999999999995,-0.08000000000000007,5000,0.04000000000000003
DGS1,-4,0.05500000000000016,0.040000000000000036,0.03000000000000025,-0.00976200000000003,-0.054999999999999716,-0.0600000000000005,-0.08000000000000007,5000,0.01999999999999957
DGS1,-3,0.054999999999999716,0.040000000000000036,0.03000000000000025,-0.010790000000000034,-0.05999999999999961,-0.06500000000000039,-0.08000000000000007,5000,0.01999999999999957
DGS1,-2,0.06499999999999995,0.04999999999999982,0.040000000000000036,-0.009816000000000033,-0.05499999999999994,-0.06499999999999995,-0.08000000000000007,5000,-0.04000000000000003
DGS1,-1,0.06002500000000059,0.04499999999999993,0.03500000000000014,-0.012302000000000021,-0.05999999999999961,-0.06999999999999984,-0.08999999999999986,5000,-0.04000000000000003
DGS1,0,0.0600000000000005,0.040000000000000036,0.03000000000000025,-0.012571000000000028,-0.05999999999999983,-0.06999999999999984,-0.08999999999999986,5000,-0.07999999999999918
DGS1,1,0.06499999999999995,0.04512499999999853,0.039999999999999376,-0.012674000000000034,-0.0600000000000005,-0.07000000000000028,-0.0900000000000003,5000,-0.08000000000000007
DGS1,2,0.07000000000000028,0.054999999999999716,0.040000000000000036,-0.014026000000000021,-0.06500000000000039,-0.07500000000000018,-0.09999999999999964,5000,-0.08000000000000007
DGS1,3,0.08000000000000007,0.05999999999999961,0.04499999999999993,-0.014208,-0.06999999999999984,-0.08000000000000007,-0.10999999999999943,5000,-0.07000000000000028
DGS1,4,0.08999999999999986,0.05999999999999961,0.04499999999999993,-0.01468400000000001,-0.07000000000000006,-0.08999999999999986,-0.11999999999999966,5000,-0.07500000000000018
DGS1,5,0.09002500000000128,0.07000000000000028,0.04999999999999982,-0.01592,-0.07500000000000018,-0.0950000000000002,-0.1299999999999999,5000,-0.04500000000000037
DGS1,6,0.09999999999999964,0.07000000000000028,0.05500000000000016,-0.01637900000000001,-0.08999999999999986,-0.10000000000000053,-0.1299999999999999,5000,-0.06000000000000005
DGS1,7,0.0950000000000002,0.06499999999999996,0.050250000000001564,-0.017180000000000018,-0.08500000000000019,-0.10000000000000053,-0.13999999999999968,5000,-0.0900000000000003
DGS1,8,0.0900000000000003,0.06999999999999984,0.050000000000000266,-0.019236000000000014,-0.08999999999999986,-0.10999999999999988,-0.14500000000000002,5000,-0.1200000000000001
DGS1,9,0.10499999999999998,0.07000000000000028,0.05999999999999961,-0.021671000000000013,-0.0950000000000002,-0.1200000000000001,-0.1599999999999997,5000,-0.1200000000000001
DGS1,10,0.09999999999999964,0.07000000000000028,0.050000000000000266,-0.024046000000000022,-0.10499999999999998,-0.1200000000000001,-0.15999999999999992,5000,-0.10999999999999945
DGS1,11,0.10500000000000043,0.07499999999999996,0.05500000000000016,-0.02665200000000004,-0.11000000000000032,-0.1349999999999998,-0.16999999999999993,5000,-0.09999999999999964
DGS1,12,0.10499999999999998,0.08000000000000007,0.05999999999999961,-0.028651000000000013,-0.11999999999999988,-0.13999999999999968,-0.17000000000000037,5000,-0.08000000000000007
DGS1,13,0.10499999999999998,0.07500000000000018,0.05999999999999961,-0.02967300000000001,-0.1200000000000001,-0.13999999999999968,-0.18002500000000016,5000,-0.11999999999999966
DGS1,14,0.11000000000000032,0.08000000000000007,0.06000000000000005,-0.03126200000000001,-0.1200000000000001,-0.14000000000000012,-0.18499999999999983,5000,-0.09999999999999964
DGS1,15,0.11000000000000032,0.07999999999999963,0.05999999999999961,-0.03301100000000002,-0.1200000000000001,-0.14000000000000012,-0.18999999999999995,5000,-0.0699999999999994
DGS10,-15,0,0,0,0,0,0,0,5000,0
DGS10,-14,0.03999999999999915,0.030000000000000027,0.02499999999999991,-3.7399999999999245e-4,-0.020000000000000462,-0.029999999999999805,-0.03500000000000014,5000,0.00999999999999978
DGS10,-13,0.054999999999999716,0.040000000000000036,0.03500000000000014,0.00417599999999998,-0.03000000000000025,-0.039999999999999813,-0.04999999999999982,5000,-0.01999999999999957
DGS10,-12,0.05502500000000092,0.04999999999999982,0.040000000000000036,0.00501199999999999,-0.03000000000000025,-0.040000000000000036,-0.05999999999999961,5000,0.00999999999999978
DGS10,-11,0.07000000000000006,0.05500000000000016,0.04999999999999982,0.005901999999999987,-0.040000000000000036,-0.04999999999999982,-0.06000000000000005,5000,-0.01000000000000023
DGS10,-10,0.08499999999999996,0.06999999999999984,0.05999999999999983,0.00927199999999997,-0.040000000000000036,-0.04999999999999982,-0.0699999999999994,5000,-0.03000000000000025
DGS10,-9,0.09499999999999997,0.07500000000000018,0.06499999999999972,0.007053999999999979,-0.04999999999999982,-0.05999999999999961,-0.07499999999999973,5000,0
DGS10,-8,0.09999999999999964,0.07500000000000018,0.06500000000000039,0.009059999999999995,-0.05500000000000016,-0.06500000000000039,-0.09499999999999975,5000,0.00999999999999978
DGS10,-7,0.11000000000000032,0.08999999999999986,0.07999999999999921,0.007167999999999977,-0.0699999999999994,-0.08000000000000007,-0.10000000000000009,5000,0
DGS10,-6,0.1200000000000001,0.10000000000000053,0.08999999999999986,0.009187999999999991,-0.07000000000000006,-0.08000000000000007,-0.10000000000000053,5000,0.02999999999999936
DGS10,-5,0.125,0.09999999999999964,0.08999999999999986,0.011853999999999988,-0.06000000000000005,-0.07500000000000018,-0.11000000000000032,5000,0.00999999999999978
DGS10,-4,0.13999999999999968,0.11000000000000032,0.08999999999999986,0.010308999999999987,-0.06999999999999984,-0.08499999999999996,-0.11500000000000021,5000,0.0299999999999998
DGS10,-3,0.13499999999999981,0.10499999999999998,0.09000000000000075,0.010853000000000007,-0.07500000000000018,-0.08999999999999986,-0.11499999999999999,5000,-0.02000000000000001
DGS10,-2,0.1299999999999999,0.10499999999999976,0.08999999999999986,0.01213299999999998,-0.07000000000000028,-0.08999999999999986,-0.1200000000000001,5000,-0.08000000000000007
DGS10,-1,0.13999999999999968,0.10000000000000053,0.08999999999999986,0.013778,-0.07000000000000028,-0.08999999999999986,-0.1200000000000001,5000,-0.06000000000000005
DGS10,0,0.14000000000000012,0.11000000000000011,0.09525000000000106,0.013698000000000005,-0.07500000000000018,-0.08999999999999986,-0.11499999999999977,5000,-0.10000000000000007
